mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__bootstrap,param_clf__max_depth,param_clf__min_samples_leaf,param_clf__min_samples_split,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.37880692481994627,0.032439064221633715,0.02684807777404785,0.011678670260801851,True,20,2,2,200,"{'clf__bootstrap': True, 'clf__max_depth': 20, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}",0.9302593101612711,0.8864429458956486,0.9005250427747136,0.9023455394814208,0.8902153628655542,0.9019576402357217,0.015373835827071183,90
0.7113156795501709,0.019416001289615396,0.03356800079345703,0.005716932906374196,True,20,2,2,400,"{'clf__bootstrap': True, 'clf__max_depth': 20, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 2, 'clf__n_estimators': 400}",0.9338044344182358,0.88999176383338,0.9045667578098671,0.909557612919173,0.8931580575586079,0.9062157253078528,0.015548271865183528,47
1.4541097640991212,0.03619343692420495,0.06078977584838867,0.010915907731980293,True,20,2,2,800,"{'clf__bootstrap': True, 'clf__max_depth': 20, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 2, 'clf__n_estimators': 800}",0.9303090358670042,0.8979220218557359,0.904381002522071,0.9063719892856212,0.9033093401489308,0.9084586779358725,0.011277913362116981,37
0.39308342933654783,0.02326826492773791,0.019742965698242188,0.0028763507531497094,True,20,2,5,200,"{'clf__bootstrap': True, 'clf__max_depth': 20, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 5, 'clf__n_estimators': 200}",0.9223564626699245,0.8936378011952086,0.9053101718213828,0.905384778360969,0.8807058889808174,0.9014790206056607,0.013847801051239074,101
0.7338372707366944,0.020276488990734493,0.033417463302612305,0.003802630914998801,True,20,2,5,400,"{'clf__bootstrap': True, 'clf__max_depth': 20, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 5, 'clf__n_estimators': 400}",0.9231910402414449,0.8943234456079159,0.9046285285262075,0.9090890240803684,0.8865499963426231,0.903556406959712,0.012583669563096884,77
2.677346658706665,0.2342552015128093,0.1743112564086914,0.039547893720833796,True,20,2,5,800,"{'clf__bootstrap': True, 'clf__max_depth': 20, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 5, 'clf__n_estimators': 800}",0.9304221517447374,0.8982562202807938,0.9006050747875187,0.9021793457187358,0.8936085112407357,0.9050142607545043,0.013029204286818133,60
0.5464500427246094,0.31085309124301697,0.04861741065979004,0.02833697213827668,True,20,2,10,200,"{'clf__bootstrap': True, 'clf__max_depth': 20, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 10, 'clf__n_estimators': 200}",0.9302593101612711,0.8935822838620542,0.9013921546352639,0.9017860511459727,0.8862810214708421,0.9026601642550809,0.014931637603767495,85
1.8555994510650635,0.3188728753739988,0.09688997268676758,0.020046171188595953,True,20,2,10,400,"{'clf__bootstrap': True, 'clf__max_depth': 20, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 10, 'clf__n_estimators': 400}",0.9264292896645838,0.889741137266964,0.9008411163599508,0.9050928795533222,0.8795163814460686,0.9003241608581778,0.015807907789321556,115
2.226431369781494,0.1592432286939302,0.07029657363891602,0.007844436119241587,True,20,2,10,800,"{'clf__bootstrap': True, 'clf__max_depth': 20, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 10, 'clf__n_estimators': 800}",0.9262830908341745,0.8898298472148808,0.8970707875093892,0.8989219448154797,0.8762116761219815,0.8976634692991811,0.016386353069626672,131
0.524920129776001,0.08330348748545861,0.022364139556884766,0.003877800494487826,True,20,4,2,200,"{'clf__bootstrap': True, 'clf__max_depth': 20, 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}",0.9227365019217318,0.8771306715943801,0.9008411163599508,0.8988635110159283,0.8595383254824605,0.8918220252748903,0.021655043463560848,157
